state,population
Alabama,4864745
Alaska,741504
Arizona,6945452
Arkansas,2990410
California,39209127
Colorado,5540921
Connecticut,3578674
Delaware,949216
District of Columbia,686575
Florida,20629982
Georgia,10304763
Hawaii,1428105
Idaho,1682930
Illinois,12826895
Indiana,6633344
Iowa,3131785
Kansas,2911263
Kentucky,4438229
Louisiana,4678215
Maine,1331370
Maryland,6004692
Massachusetts,6826022
Michigan,9951890
Minnesota,5523409
Mississippi,2988298
Missouri,6087203
Montana,1040863
Nebraska,1905924
Nevada,2919772
New Hampshire,1342373
New Jersey,8874516
New Mexico,2092789
New York,19641589
North Carolina,10156679
North Dakota,754353
Ohio,11635003
Oklahoma,3926769
Oregon,4091404
Pennsylvania,12783538
Rhode Island,1057063
South Carolina,4958235
South Dakota,862890
Tennessee,6645011
Texas,27937492
Utah,3042613
Vermont,623644
Virginia,8410946
Washington,7294680
West Virginia,1830929
Wisconsin,5772958
Wyoming,584290
Puerto Rico,3406495
